character_name,traits,category
Renée Elise Goldsberry,"['is_female', 'is_actor']",Acting
Samantha Bond,"['is_female', 'is_actor']",Acting
Rachel Nichols,"['is_female', 'is_actor']",Acting
Phil Hartman,"['is_male', 'is_actor']",Acting
Sean Kanan,"['is_male', 'is_actor']",Acting
John Slattery,"['is_male', 'is_actor']",Acting
Yoon Byung-hee,"['is_male', 'is_actor']",Acting
Wi Ha-jun,"['is_male', 'is_actor']",Acting
Barry Keoghan,"['is_male', 'is_actor']",Acting
Michael Biehn,"['is_male', 'is_actor']",Acting
Jennifer Coolidge,"['is_female', 'is_actor']",Acting
Alex Gonzaga,"['is_female', 'is_actor']",Acting
Kristin Scott Thomas,"['is_female', 'is_actor']",Acting
Jim Belushi,"['is_male', 'is_actor']",Acting
Kerry Washington,"['is_female', 'is_actor']",Acting
Riho Yoshioka,"['is_female', 'is_actor']",Acting
Hunter Schafer,"['is_female', 'is_actor']",Acting
Ray Stevenson,"['is_male', 'is_actor']",Acting
Peter Benson,"['is_male', 'is_actor']",Acting
Kate Mara,"['is_female', 'is_actor']",Acting
Mason Gooding,"['is_male', 'is_actor']",Acting
Grant Gustin,"['is_male', 'is_actor']",Acting
Megumi Kagurazaka,"['is_female', 'is_actor']",Acting
Sin Yeon Woo,"['is_male', 'is_actor']",Acting
Chace Crawford,"['is_male', 'is_actor']",Acting
Nancy Travis,"['is_female', 'is_actor']",Acting
Sarah Jessica Parker,"['is_female', 'is_actor']",Acting
Nikki Reed,"['is_female', 'is_actor']",Acting
Natsuki Hanae,"['is_male', 'is_actor']",Acting
Mary Holland,"['is_female', 'is_actor']",Acting
Angela White,"['is_female', 'is_actor']",Acting
Stephen Fry,"['is_male', 'is_actor']",Acting
Jefferson White,['is_actor'],Acting
Vanessa Hudgens,"['is_female', 'is_actor']",Acting
Gretchen Mol,"['is_female', 'is_actor']",Acting
Alia Shawkat,"['is_female', 'is_actor']",Acting
Laurence Fishburne,"['is_male', 'is_actor']",Acting
Aya Cash,"['is_female', 'is_actor']",Acting
Amy Irving,"['is_female', 'is_actor']",Acting
Linda Hamilton,"['is_female', 'is_actor']",Acting
Lio Tipton,['is_actor'],Acting
Lily Mo Sheen,"['is_female', 'is_actor']",Acting
Bridget Fonda,"['is_female', 'is_actor']",Acting
Mario Cimarro,"['is_male', 'is_actor']",Acting
Jay Hernandez,"['is_male', 'is_actor']",Acting
Debra Winger,"['is_female', 'is_actor']",Acting
Dwight Schultz,"['is_male', 'is_actor']",Acting
Mädchen Amick,"['is_female', 'is_actor']",Acting
Xing Fei,"['is_female', 'is_actor']",Acting
Ralph Ineson,"['is_male', 'is_actor']",Acting
Takuya Eguchi,"['is_male', 'is_actor']",Acting
Ke Huy Quan,"['is_male', 'is_actor']",Acting
Ismael Cruz Córdova,"['is_male', 'is_actor']",Acting
Nijiro Murakami,"['is_male', 'is_actor']",Acting
Scott Grimes,"['is_male', 'is_actor']",Acting
Roddy McDowall,"['is_male', 'is_actor']",Acting
Sasha Alexander,"['is_female', 'is_actor']",Acting
Scott Haze,"['is_male', 'is_actor']",Acting
Ioan Gruffudd,"['is_male', 'is_actor']",Acting
Nicole Sullivan,"['is_female', 'is_actor']",Acting
Tuppence Middleton,"['is_female', 'is_actor']",Acting
Sevda Erginci,"['is_female', 'is_actor']",Acting
Gil Birmingham,"['is_male', 'is_actor']",Acting
Gaspard Ulliel,"['is_male', 'is_actor']",Acting
Rooney Mara,"['is_female', 'is_actor']",Acting
Felicia Day,"['is_female', 'is_actor']",Acting
Jimmi Simpson,"['is_male', 'is_actor']",Acting
James Woods,"['is_male', 'is_actor']",Acting
Fred Tatasciore,"['is_male', 'is_actor']",Acting
Stephanie March,"['is_female', 'is_actor']",Acting
Kate Winslet,"['is_female', 'is_actor']",Acting
Jessica Moore,"['is_female', 'is_actor']",Acting
Jett Klyne,"['is_male', 'is_actor']",Acting
Barış Arduç,"['is_male', 'is_actor']",Acting
Mandy Moore,"['is_female', 'is_actor']",Acting
Lily-Rose Depp,"['is_female', 'is_actor']",Acting
Sam Claflin,"['is_male', 'is_actor']",Acting
Christian Serratos,"['is_female', 'is_actor']",Acting
